Agnieszka Bednarek-Kasza, 185cm,  f22 cm-el alacsonyabb.
Eleonora Dziêkiewicz, 185cm,  f22 cm-el alacsonyabb.
Anna Werbliñska, 178cm,  f92 cm-el alacsonyabb.
Francesca Piccinini, 184cm,  f32 cm-el alacsonyabb.
Jaqueline Carvalho, 186cm,  f12 cm-el alacsonyabb.
Yelizaveta Mammadova, 184cm,  f32 cm-el alacsonyabb.
Szpin Renáta, 165cm,  f222 cm-el alacsonyabb.
Tanja Matic, 178cm,  f92 cm-el alacsonyabb.
Bodnár Dorottya, 185cm,  f22 cm-el alacsonyabb.
Ivana Ðerisilo, 185cm,  f22 cm-el alacsonyabb.
Logan Tom, 186cm,  f12 cm-el alacsonyabb.
Tálas Zsuzsanna, 178cm,  f92 cm-el alacsonyabb.
Gözde Kirdar Sonsirma, 183cm,  f42 cm-el alacsonyabb.
Tandara Caixeta, 184cm,  f32 cm-el alacsonyabb.
Debby Stam-Pilon, 184cm,  f32 cm-el alacsonyabb.
Naz Aydemir, 186cm,  f12 cm-el alacsonyabb.
Sabina Altynbekova, 182cm,  f52 cm-el alacsonyabb.
Charlotte Leys, 184cm,  f32 cm-el alacsonyabb.
Nikola Radosová, 186cm,  f12 cm-el alacsonyabb.
